Href,ArticleTitle,DateRetrieved,Content,WebSiteName
https://news.google.com/articles/CBMic2h0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9tbGItbmV0d29ya3Mta2VuLWdyaWZmZXktanItZG9jdW1lbnRhcnktcHJvdmVzLXRoZS1raWQtaXMtc3RpbGwtdGhlLWNvb2xlc3QtMTMzNDMzODIzLmh0bWzSAXtodHRwczovL3Nwb3J0cy55YWhvby5jb20vYW1waHRtbC9tbGItbmV0d29ya3Mta2VuLWdyaWZmZXktanItZG9jdW1lbnRhcnktcHJvdmVzLXRoZS1raWQtaXMtc3RpbGwtdGhlLWNvb2xlc3QtMTMzNDMzODIzLmh0bWw?hl=en-GB&gl=GB&ceid=GB%3Aen,MLB Network’s Ken Griffey Jr. documentary proves ‘The Kid’ is still the coolest,06/26/2020 00:00:00,Sport,Yahoo Sports
https://news.google.com/articles/CBMiLWh0dHBzOi8vd3d3LmJiYy5jby51ay9zcG9ydC9mb290YmFsbC81MTU4NDc4N9IBAA?hl=en-GB&gl=GB&ceid=GB%3Aen,Liverpool win Premier League title: Why a 30-year wait seemed unthinkable,06/26/2020 00:00:00,Sport,BBC Sport
https://news.google.com/articles/CBMiLWh0dHBzOi8vd3d3LmJiYy5jby51ay9zcG9ydC9mb290YmFsbC81MzE5MTAwMtIBMWh0dHBzOi8vd3d3LmJiYy5jby51ay9zcG9ydC9hbXAvZm9vdGJhbGwvNTMxOTEwMDI?hl=en-GB&gl=GB&ceid=GB%3Aen,Pat Nevin: Celtic should compensate victims if aware of abuse,06/26/2020 00:00:00,Sport,BBC Sport
https://news.google.com/articles/CBMiLWh0dHBzOi8vd3d3LmJiYy5jby51ay9zcG9ydC9mb290YmFsbC81MzE5MTczM9IBMWh0dHBzOi8vd3d3LmJiYy5jby51ay9zcG9ydC9hbXAvZm9vdGJhbGwvNTMxOTE3MzM?hl=en-GB&gl=GB&ceid=GB%3Aen,Women's Champions League: Glasgow City and Arsenal Women to resume quarter-finals,06/26/2020 00:00:00,Sport,BBC Sport
https://news.google.com/articles/CBMilwFodHRwczovL3Nwb3J0cy55YWhvby5jb20vbmFzY2FyLXJlbGVhc2VzLXBob3RvLW9mLW5vb3NlLWluLWJ1YmJhLXdhbGxhY2VzLWdhcmFnZS1zdGFsbC1leHBsYWlucy1pbnZlc3RpZ2F0aW9uLXRoYXQtZW5kZWQtd2l0aC1uby1jaGFyZ2VzLTE3MTkyOTM3My5odG1s0gGfAWh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9hbXBodG1sL25hc2Nhci1yZWxlYXNlcy1waG90by1vZi1ub29zZS1pbi1idWJiYS13YWxsYWNlcy1nYXJhZ2Utc3RhbGwtZXhwbGFpbnMtaW52ZXN0aWdhdGlvbi10aGF0LWVuZGVkLXdpdGgtbm8tY2hhcmdlcy0xNzE5MjkzNzMuaHRtbA?hl=en-GB&gl=GB&ceid=GB%3Aen,"NASCAR releases photo of noose in Bubba Wallace's garage stall, explains investigation that ended with no charges",06/26/2020 00:00:00,Sport,Yahoo Sports
https://news.google.com/articles/CBMib2h0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9yZXBvcnQtamV0cy1zYWZldHktamFtYWwtYWRhbXMtYXNrcy10ZWFtLWZvci10cmFkZS13aWxsLWNvd2JveXMtc3RlcC11cC0yMTA4MDM3NzYuaHRtbNIBd2h0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9hbXBodG1sL3JlcG9ydC1qZXRzLXNhZmV0eS1qYW1hbC1hZGFtcy1hc2tzLXRlYW0tZm9yLXRyYWRlLXdpbGwtY293Ym95cy1zdGVwLXVwLTIxMDgwMzc3Ni5odG1s?hl=en-GB&gl=GB&ceid=GB%3Aen,"Report: Jets safety Jamal Adams asks team for trade, will Cowboys step up?",06/26/2020 00:00:00,Sport,Yahoo Sports
https://news.google.com/articles/CBMicWh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vYXUvbmV3cy90ZW5ldC1pcy1kZWxheWVkLXlldC1hZ2Fpbi1idXQteW91LWNhbi13YXRjaC1pbmNlcHRpb24taW4tZm9ydG5pdGUtdGhpcy13ZWVrZW5k0gF1aHR0cHM6Ly93d3cudGVjaHJhZGFyLmNvbS9hdS9hbXAvbmV3cy90ZW5ldC1pcy1kZWxheWVkLXlldC1hZ2Fpbi1idXQteW91LWNhbi13YXRjaC1pbmNlcHRpb24taW4tZm9ydG5pdGUtdGhpcy13ZWVrZW5k?hl=en-GB&gl=GB&ceid=GB%3Aen,Tenet is delayed yet again – but you can watch Inception in Fortnite this weekend,06/26/2020 00:00:00,Tech,TechRadar
https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vYXUvbmV3cy94Ym94LXNlcmllcy14LXdpbGwtYmUtYS1kcmFtYXRpYy1zdGVwLXVwLWZyb20teGJveC1vbmUtYW5kLXBzNNIBZGh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vYXUvYW1wL25ld3MveGJveC1zZXJpZXMteC13aWxsLWJlLWEtZHJhbWF0aWMtc3RlcC11cC1mcm9tLXhib3gtb25lLWFuZC1wczQ?hl=en-GB&gl=GB&ceid=GB%3Aen,Xbox Series X will be ‘a dramatic step up’ from Xbox One and PS4,06/26/2020 00:00:00,Tech,TechRadar
https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vYXUvbmV3cy90aGUtaXBob25lLTEyLXByaWNlLWlzLXRpcHBlZC10by1iZS1jaGVhcGVyLXRoYW4tdGhlLWlwaG9uZS0xMdIBZGh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vYXUvYW1wL25ld3MvdGhlLWlwaG9uZS0xMi1wcmljZS1pcy10aXBwZWQtdG8tYmUtY2hlYXBlci10aGFuLXRoZS1pcGhvbmUtMTE?hl=en-GB&gl=GB&ceid=GB%3Aen,The iPhone 12 price is tipped to be cheaper than the iPhone 11,06/26/2020 00:00:00,Tech,TechRadar
https://news.google.com/articles/CAIiEMzOYyWF6rl22b0gUIyndScqFggEKg0IACoGCAowof8GMMBfMPbV8wU?hl=en-GB&gl=GB&ceid=GB%3Aen,Mainframe 2020: A catalyst for transformation,06/26/2020 00:00:00,Tech,MIT Tech Review
